										#B/mm	dB/mm	G/mm	dG/mm	Gamma	dGamma	X_G/mm	X_L/mm	X_B/mm	X/mm	dX/mm	X'/mm	dX'/mm	1+Gamma	d(1+Gamma)	1+1/Gamma	d(1+1/Gamma
51	1	35	0.5	1.4571428571	0.0353503321	180	342	500	162	0.5	158	3	2.4571428571	0.0353503321	1.6862745098	0.0166490415
80	1	35	0.5	2.2857142857	0.0433883503	180	328	550	148	0.5	222	3	3.2857142857	0.0433883503	1.4375	0.0083048014
94	1	35	0.5	2.6857142857	0.0478370133	180	325	580	145	0.5	255	3	3.6857142857	0.0478370133	1.3723404255	0.0066319988
98	1	35	0.5	2.8	0.0491561444	180	329	600	149	0.5	271	3	3.8	0.0491561444	1.3571428571	0.0062699164
134	1	35	0.5	3.8285714286	0.0617069427	180	321	670	141	0.5	349	3	4.8285714286	0.0617069427	1.2611940299	0.0042097909
142	1	35	0.5	4.0571428571	0.0646188324	180	324	700	144	0.5	376	3	5.0571428571	0.0646188324	1.2464788732	0.0039257126
122	1	35	0.5	3.4857142857	0.0574104522	180	325	650	145	0.5	325	3	4.4857142857	0.0574104522	1.2868852459	0.0047250607
155	1	35	0.5	4.4285714286	0.0694177606	180	328	750	148	0.5	422	3	5.4285714286	0.0694177606	1.2258064516	0.0035395112
180	1	35	0.5	5.1428571429	0.0788294201	180	325	800	145	0.5	475	3	6.1428571429	0.0788294201	1.1944444444	0.0029804333
190	1	35	0.5	5.4285714286	0.0826467622	180	314	780	134	0.5	466	3	6.4285714286	0.0826467622	1.1842105263	0.0028044954
																
																
																
																
																
																
																
																
																
																
																
																
162	1.6862745098	0.5	0.0166490415													
148	1.4375	0.5	0.0083048014													
145	1.3723404255	0.5	0.0066319988													
149	1.3571428571	0.5	0.0062699164													
141	1.2611940299	0.5	0.0042097909													
144	1.2464788732	0.5	0.0039257126													
145	1.2868852459	0.5	0.0047250607													
148	1.2258064516	0.5	0.0035395112													
145	1.1944444444	0.5	0.0029804333													
134	1.1842105263	0.5	0.0028044954													
