#T_0/K	T/K	T⁴-T⁴_0/K⁴	U_S/mV	PHI/F_W	DeltaU/mv	D Strahlung
295.15	323.15	3316007487.618	33.8	11.6551724	0.05	0.1724138
296.15	341.15	5956311953.781	65.2	22.4827586	0.05	0.1724138
297.15	350.15	7443225739.8675	81.55	28.1206897	0.05	0.1724138
298.15	361.15	9423042365.451	102.37	35.3	0.05	0.1724138
299.15	356.15	8500335817.4085	92.76	31.9862069	0.05	0.1724138
300.15	325.15	3588485961.405	38.3	13.2068966	0.05	0.1724138
301.15	319.15	2786026116.084	30.29	10.4448276	0.05	0.1724138
302.15	313.15	2027570966.883	22.86	7.8827586	0.05	0.1724138
303.15	309.15	1545570630.149	17.39	5.9965517	0.05	0.1724138
304.15	305.15	1081920960.135	13.19	4.5482759	0.05	0.1724138
