#s/cm	U/mV	Delta s/cm	Delta U/mV	Strahlung/Wm⁻²	Delta Strahlung/Wm⁻²
18.5	1584	0.1414213562	0.1	0.5462068966	3.44827586206897E-05
23	969	0.1414213562	0.1	0.334137931	3.44827586206897E-05
28	527	0.1414213562	0.1	0.1817241379	3.44827586206897E-05
33	298	0.1414213562	0.1	0.1027586207	3.44827586206897E-05
38	189	0.1414213562	0.1	0.0651724138	3.44827586206897E-05
43	128	0.1414213562	0.1	0.044137931	3.44827586206897E-05
48	93.9	0.1414213562	0.1	0.0323793103	3.44827586206897E-05
53	72.2	0.1414213562	0.1	0.0248965517	3.44827586206897E-05
58	57.6	0.1414213562	0.1	0.019862069	3.44827586206897E-05
63	47.4	0.1414213562	0.1	0.0163448276	3.44827586206897E-05
