#U_L/V	I/A	U/mV	Phi/Wm⁻²	R/Ohm	alpha	beta	T/K	Delta U_L	Delta I	Delta R	Delta T	Delta U	Delta Phi
12	4.2	1221	421.0344827586	2.8571428571	4.82E-03	6.76E-07	1759.8644516155	0.1	0.1	0.0720735378	0.035328751918	0.2	0.0689655172
10	3.8	938	323.4482758621	2.6315789474	4.82E-03	6.76E-07	1648.1014313025	0.1	0.1	0.0740835408	0.0371374976146	0.2	0.0689655172
8	3.3	673	232.0689655172	2.4242424242	4.82E-03	6.76E-07	1543.0821163891	0.1	0.1	0.0794664909	0.0407023072666	0.2	0.0689655172
6	2.8	448	154.4827586207	2.1428571429	4.82E-03	6.76E-07	1396.7789067474	0.1	0.1	0.0844538028	0.0446100588337	0.2	0.0689655172
5	2.6	340	117.2413793103	1.9230769231	4.82E-03	6.76E-07	1279.2364461207	0.1	0.1	0.0833668805	0.0451729538352	0.2	0.0689655172
4	2.2	252	86.8965517241	1.8181818182	4.82E-03	6.76E-07	1222.0529524384	0.1	0.1	0.0943199356	0.0517552445266	0.2	0.0689655172
3	1.9	174	60	1.5789473684	4.82E-03	6.76E-07	1088.8300323884	0.1	0.1	0.0983672072	0.0556236558265	0.2	0.0689655172
2	1.5	106	36.5517241379	1.3333333333	4.82E-03	6.76E-07	947.6808778934	0.1	0.1	0.1111111111	0.0649288564895	0.2	0.0689655172
1	1.1	54	18.6206896552	0.9090909091	4.82E-03	6.76E-07	692.0572942761	0.1	0.1	0.1228600723	0.0764217170308	0.2	0.0689655172
9	3.6	791	272.7586206897	2.5	4.82E-03	6.76E-07	1581.7180167128	0.1	0.1	0.0747939557	0.0380058000645	0.2	0.0689655172
